lambda,kappa,Asset,Weight
2.0,0.4,MSFT,0.09188572619376141
2.0,0.4,MUB,-1.749845333590213e-08
2.0,0.4,PALL,-2.352332314912715e-09
2.0,0.4,PFE,2.53182377675065e-09
2.0,0.4,PG,0.012228391089073799
2.0,0.4,QQQ,0.07055384609655947
2.0,0.4,SLV,0.010571945479941927
2.0,0.4,SPY,0.04213946980714902
2.0,0.4,TLT,-6.4859156400520056e-09
2.0,0.4,TSLA,0.041612656505783496
2.0,0.4,UNG,1.9643934822180917e-09
2.0,0.4,USO,0.0008215671602593483
2.0,0.4,V,0.008387896018776219
2.0,0.4,VNQ,1.617272181776062e-09
2.0,0.4,WEAT,2.416778089166528e-09
2.0,0.4,WMT,0.13879427788212403
2.0,0.4,XOM,0.04712436414027398
2.0,0.7,AAPL,0.05110847472046003
2.0,0.7,AGG,-1.6833464515432454e-10
2.0,0.7,AMZN,0.025969896633326994
2.0,0.7,BAC,0.011261393447592624
2.0,0.7,BND,-1.6942204866489885e-10
2.0,0.7,BNDX,-2.008438436768719e-10
2.0,0.7,CORN,0.028051992318718227
2.0,0.7,CSCO,0.01888125121022917
2.0,0.7,DBA,0.12228468542552563
2.0,0.7,DBC,0.03993137857507322
2.0,0.7,DIA,0.035284550062552926
2.0,0.7,DIS,5.541993273186729e-11
2.0,0.7,EEM,4.4513274388271693e-10
2.0,0.7,EFA,0.004354249497039489
2.0,0.7,EMB,-2.665155534249128e-11
2.0,0.7,GLD,0.08114657063924723
2.0,0.7,GOOGL,0.04761802956542098
2.0,0.7,HD,0.030791030830100072
2.0,0.7,HYG,1.0195669676745375e-08
2.0,0.7,IEF,-1.746013389489348e-10
2.0,0.7,IWM,0.012472718809578865
2.0,0.7,JNJ,1.1085302722328184e-07
2.0,0.7,JPM,0.03281282939201374
2.0,0.7,KO,0.008992703741157886
2.0,0.7,LQD,-4.5837544499083685e-11
2.0,0.7,MA,0.020710574161833
2.0,0.7,META,0.027353828281237842
2.0,0.7,MSFT,0.06513281994240193
2.0,0.7,MUB,1.8672377380597005e-10
2.0,0.7,PALL,-4.5649184267090474e-11
2.0,0.7,PFE,4.488848923445133e-10
2.0,0.7,PG,0.03896613553326945
2.0,0.7,QQQ,0.05772535642827735
2.0,0.7,SLV,0.015615468648522372
2.0,0.7,SPY,0.05316510051748381
2.0,0.7,TLT,-1.0815902859156095e-10
2.0,0.7,TSLA,0.021105804917742776
2.0,0.7,UNG,7.326643601167911e-11
2.0,0.7,USO,0.004898667437090512
2.0,0.7,V,0.02383534161137592
2.0,0.7,VNQ,5.752485879259188e-10
2.0,0.7,WEAT,4.3257103181639027e-10
2.0,0.7,WMT,0.09114884315393401
2.0,0.7,XOM,0.029380182348170473
2.0,1.0,AAPL,0.03219865146402231
2.0,1.0,AGG,0.02431003263259128
2.0,1.0,AMZN,0.018175638152152847
2.0,1.0,BAC,0.010508330339682449
2.0,1.0,BND,0.023474899536961896
2.0,1.0,BNDX,0.037257200871457175
2.0,1.0,CORN,0.026128795778867262
2.0,1.0,CSCO,0.016841945933293148
2.0,1.0,DBA,0.08918978529826968
2.0,1.0,DBC,0.03308667999004692
2.0,1.0,DIA,0.0320233775943933
2.0,1.0,DIS,1.4543811132822844e-09
2.0,1.0,EEM,0.008029473581935509
2.0,1.0,EFA,0.01594899081862932
2.0,1.0,EMB,1.8194949516162617e-07
2.0,1.0,GLD,0.0615904928447804
2.0,1.0,GOOGL,0.031038033919722253
2.0,1.0,HD,0.02254717615870403
2.0,1.0,HYG,0.04452839697375901
2.0,1.0,IEF,2.4859864023225116e-08
2.0,1.0,IWM,0.014219605467439143
2.0,1.0,JNJ,0.014011106569739123
2.0,1.0,JPM,0.0226448078660153
2.0,1.0,KO,0.016520033406433467
2.0,1.0,LQD,0.0029377987315024547
2.0,1.0,MA,0.017184073376777652
2.0,1.0,META,0.016986968636630025
2.0,1.0,MSFT,0.043050908698437196
2.0,1.0,MUB,0.07039697228672234
2.0,1.0,PALL,-1.0692446076505764e-10
2.0,1.0,PFE,0.0031098411578963166
2.0,1.0,PG,0.033533581553446976
